run,cell,arm,alpha,beta,rate_req_s,git_commit,router_image,seed,ok,errors,error_rate,ttft_mean,ttft_p50,ttft_p90,ttft_p95,ttft_p99,itl_p50,itl_p95,itl_p99,e2e_mean,e2e_p95,e2e_p99,throughput_req_s,throughput_tok_s,imbalance
20260803-222707-roundrobin,roundrobin,roundrobin,,,10.5,87e071b263b3,lmcache/lmstack-router:0.1.9.dev9-g37bafbcf5.d20260107,2,500,0,0.0,0.8103,0.4996,1.9883,2.9088,4.0224,nan,nan,nan,11.1036,31.183,31.9878,8.7115,557.5382,3.8133
20260803-222707-roundrobin,roundrobin,roundrobin,,,10.5,87e071b263b3,lmcache/lmstack-router:0.1.9.dev9-g37bafbcf5.d20260107,3,498,2,0.004,1.4904,1.022,4.3533,5.5024,6.3546,nan,nan,nan,17.0369,30.1725,31.8806,8.5598,547.8285,1.1814
20260804-002923-loadaware-b0.034,loadaware-b0.034,loadaware,1.0,0.034,16.0,9eee8a1fc72a,quay.io/rhl193000/lmstack-router-loadaware:c68ccfc,1,500,0,0.0,0.2102,0.1865,0.2705,0.2994,0.8373,0.032,0.089,0.1263,2.7464,4.0103,4.1291,14.7492,943.9461,1.6842
20260804-002923-loadaware-b0.034,loadaware-b0.034,loadaware,1.0,0.034,16.0,9eee8a1fc72a,quay.io/rhl193000/lmstack-router-loadaware:c68ccfc,2,500,0,0.0,0.2223,0.2123,0.2991,0.3248,0.4397,0.0384,0.1206,0.143,3.3572,4.9962,5.1525,14.2901,914.5686,1.2182
20260804-002923-loadaware-b0.034,loadaware-b0.034,loadaware,1.0,0.034,16.0,9eee8a1fc72a,quay.io/rhl193000/lmstack-router-loadaware:c68ccfc,3,497,3,0.006,0.2281,0.2189,0.3278,0.363,0.4144,0.0444,0.1507,0.1871,4.2404,6.7118,6.83,14.7646,944.9364,1.0311
20260804-002923-loadaware-b0.034,loadaware-b0.034,loadaware,1.0,0.034,16.0,9eee8a1fc72a,quay.io/rhl193000/lmstack-router-loadaware:c68ccfc,4,498,2,0.004,0.2211,0.1987,0.3214,0.4046,0.5217,0.0387,0.1357,0.1599,3.5343,5.7434,6.2791,13.6321,872.4556,1.0983
20260804-002923-loadaware-b0.034,loadaware-b0.034,loadaware,1.0,0.034,16.0,9eee8a1fc72a,quay.io/rhl193000/lmstack-router-loadaware:c68ccfc,5,500,0,0.0,0.247,0.2319,0.3815,0.4188,0.4949,0.0435,0.1847,0.2344,4.4254,8.0669,8.8186,14.3063,915.6058,1.1308
20260804-002923-loadaware-b0.034,loadaware-b0.034,loadaware,1.0,0.034,16.0,9eee8a1fc72a,quay.io/rhl193000/lmstack-router-loadaware:c68ccfc,6,495,5,0.01,0.2271,0.2145,0.3184,0.3547,0.4466,0.0415,0.1359,0.1652,3.6211,5.5536,5.8108,13.9763,894.4805,1.1885
20260804-002923-loadaware-b0.034,loadaware-b0.034,loadaware,1.0,0.034,16.0,9eee8a1fc72a,quay.io/rhl193000/lmstack-router-loadaware:c68ccfc,7,500,0,0.0,0.2175,0.2062,0.2886,0.3256,0.3729,0.0396,0.1346,0.1591,3.5816,5.6074,6.0857,15.198,972.6722,1.1901
20260804-002923-loadaware-b0.034,loadaware-b0.034,loadaware,1.0,0.034,16.0,9eee8a1fc72a,quay.io/rhl193000/lmstack-router-loadaware:c68ccfc,8,497,3,0.006,0.2412,0.2135,0.3954,0.4702,0.5791,0.0419,0.148,0.2082,3.8285,6.8785,7.8119,13.9025,889.7603,1.0929
20260804-002923-loadaware-b0.034,loadaware-b0.034,loadaware,1.0,0.034,16.0,9eee8a1fc72a,quay.io/rhl193000/lmstack-router-loadaware:c68ccfc,9,499,1,0.002,0.2833,0.2652,0.4219,0.4769,0.5418,0.0557,0.2021,0.236,5.5232,8.7666,8.8664,14.6395,936.9304,1.1814
20260804-002923-loadaware-b0.034,loadaware-b0.034,loadaware,1.0,0.034,16.0,9eee8a1fc72a,quay.io/rhl193000/lmstack-router-loadaware:c68ccfc,10,498,2,0.004,0.2428,0.2241,0.3659,0.4199,0.4992,0.0458,0.1971,0.2381,4.5481,9.0475,9.8717,14.1806,907.5604,1.0833
20260804-002923-loadaware-b0.034,loadaware-b0.034,loadaware,1.0,0.034,16.0,9eee8a1fc72a,quay.io/rhl193000/lmstack-router-loadaware:c68ccfc,11,496,4,0.008,0.2132,0.2038,0.3084,0.3336,0.381,0.0415,0.1418,0.192,3.7272,6.1316,6.6747,13.9092,890.1874,1.4898
